   lat,    lon,    alt,    v_n,    v_e,    v_d,  gyrox,  gyroy,  gyroz,   accx,   accy,   accz,   magx,   magy,   magz
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00782448, -0.00068004, -0.04834773, 0.34454896,  -0.09273121, -9.39866179, 47.28595439, 4.94128108, 0.49434316
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01037165, 0.00641739, -0.01550127, 0.62399205,  -0.18468510, -9.59580656, 47.38478555, 3.43886086, 1.86506040
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01888935, 0.00693589, 0.02183772, 0.74598890,  -0.10275142, -9.96593590, 47.38136056, 3.17388243, 2.35695949
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02267507, 0.01958503, 0.02528921, 0.61053021,  0.04038671, -9.88908801, 47.43049487, 3.13505035, 1.06851846
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01447940, 0.00561202, -0.01574605, 0.50128199,  0.24173828, -9.87341927, 47.44398398, 2.36916249, 2.01929930
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01058823, 0.01042025, -0.02493452, 0.72625858,  0.18622194, -9.86776135, 47.40399069, 3.36713454, 1.46498721
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00492027, 0.01138707, -0.03987686, 0.76898090,  0.22037583, -10.18431036, 47.35853771, 4.07790069, 1.07784407
45.41720467, 11.86707644, 171.11807733, 14.66563547, 8.95572756, -0.21104052, 0.01888185, -0.00450959, -0.04793290, 0.80540627,  0.24350905, -10.05637282, 47.36499935, 2.65557882, 3.18227179
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01555298, 0.01613262, -0.03603524, 0.44263231,  0.05866145, -9.93565663, 47.33035346, 4.47704384, 0.64485301
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01295976, 0.00317975, -0.03779221, 0.47693720,  -0.02464567, -9.57196281, 47.34672002, 4.22183639, 1.04226501
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00257156, 0.01147059, -0.00732351, 0.51605248,  -0.02179625, -9.28565186, 47.40542676, 3.02380106, 2.05042842
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.04726131, 0.01366190, -0.02964081, 0.56074728,  -0.07792303, -9.88734176, 47.39239619, 3.64707225, 1.13214993
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.03747946, 0.00661142, -0.00496861, 0.65213683,  -0.03932687, -10.39625764, 47.41074200, 3.57907256, 0.18411514
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01207551, 0.01733641, 0.01499994, 0.40004113,  -0.13549728, -10.37934017, 47.29081365, 4.49418695, 2.00083571
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.06000633, -0.00272519, -0.00098238, 0.52466232,  -0.06553028, -9.96073743, 47.45714140, 1.67887793, 2.37133187
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01680768, -0.00667768, 0.00115628, 0.47494958,  0.09889965, -9.67993219, 47.41031182, 3.55722857, 0.48018108
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01956173, 0.01117403, -0.01722052, 0.33432981,  0.15718548, -9.31596319, 47.46934252, 1.97245179, 1.84202889
45.41733250, 11.86715971, 175.84430224, 15.59705437, 7.71651117, 0.65938774, 0.00576132, -0.00154368, -0.04281290, 0.37420010,  -0.11411263, -10.04432704, 47.38787679, 3.05908689, 2.37765371
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00188842, 0.01629715, -0.04309546, 0.72309779,  -0.09517734, -10.59366460, 47.33776754, 3.53706503, 2.69203485
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02687874, 0.01141321, -0.02772089, 0.78502589,  0.06025249, -10.95757411, 47.38604402, 2.43077464, 3.04569907
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01446876, -0.01244728, -0.00556133, 0.68763073,  0.07622195, -10.47008350, 47.38348817, 2.84616656, 2.70675096
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.01469617, -0.01543660, -0.02425473, 0.54508402,  0.20890245, -10.09223386, 47.46615323, 2.43816981, 1.28130454
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01359123, 0.00683362, -0.05034317, 0.17277166,  0.18350023, -9.65937136, 47.30655221, 3.66947015, 3.04092465
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.03245254, -0.00343392, -0.06194650, -0.14403839,  0.45443070, -9.60817621, 47.26336845, 4.30519706, 2.87426466
