lat, lon, h, v_n, v_e, v_d, q0, q1, q2, q3, xg_1, xg_2, xg_3
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.722292, -0.016808, -0.023483, 0.690985, -0.000844, 0.005721, -0.023863
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.722709, -0.016708, -0.023364, 0.690556, -0.000453, 0.005969, -0.024153
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723060, -0.016728, -0.023230, 0.690192, -0.000141, 0.005904, -0.024470
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723195, -0.016795, -0.023148, 0.690051, -0.000080, 0.006031, -0.024080
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723425, -0.016913, -0.023033, 0.689812, 0.000972, 0.006200, -0.024204
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723632, -0.017046, -0.023000, 0.689592, 0.001766, 0.006209, -0.023786
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723976, -0.017056, -0.022703, 0.689240, 0.001985, 0.006446, -0.022961
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723877, -0.017133, -0.022576, 0.689347, 0.003194, 0.006255, -0.022503
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.724064, -0.017048, -0.022554, 0.689153, 0.003472, 0.005991, -0.022020
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.724017, -0.016845, -0.022482, 0.689210, 0.003794, 0.006095, -0.021924
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724121, -0.016844, -0.022225, 0.689109, 0.003832, 0.005945, -0.022333
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724284, -0.017043, -0.022216, 0.688933, 0.003795, 0.006144, -0.022733
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724291, -0.017161, -0.022334, 0.688919, 0.004231, 0.006243, -0.022827
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724355, -0.017214, -0.022413, 0.688848, 0.004420, 0.005897, -0.022507
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724366, -0.017100, -0.022492, 0.688837, 0.004607, 0.005509, -0.022539
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724542, -0.016783, -0.022331, 0.688665, 0.004282, 0.005533, -0.023035
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724800, -0.016108, -0.022141, 0.688415, 0.003638, 0.005376, -0.023718
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.725068, -0.015830, -0.021699, 0.688153, 0.003564, 0.005302, -0.024656
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.725378, -0.015950, -0.021396, 0.687833, 0.003403, 0.005135, -0.024888
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.725504, -0.016215, -0.021329, 0.687697, 0.003847, 0.004848, -0.024096
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.725637, -0.016649, -0.021886, 0.687528, 0.003809, 0.004449, -0.023489
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.725751, -0.016897, -0.022330, 0.687388, 0.004500, 0.004038, -0.022991
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.725980, -0.016887, -0.022859, 0.687128, 0.004291, 0.004257, -0.022938
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.726187, -0.017011, -0.023144, 0.686897, 0.003925, 0.004376, -0.023642
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.726289, -0.017065, -0.023155, 0.686787, 0.004208, 0.004254, -0.024145
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.726387, -0.017220, -0.023038, 0.686684, 0.004623, 0.003978, -0.024076
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.726618, -0.017142, -0.022854, 0.686448, 0.004763, 0.003780, -0.023514
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.726647, -0.017140, -0.022614, 0.686424, 0.005385, 0.003730, -0.023480
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.726798, -0.017043, -0.022310, 0.686277, 0.005887, 0.003763, -0.023350
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.727128, -0.016936, -0.022128, 0.685936, 0.006234, 0.003595, -0.023124
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.727301, -0.016990, -0.022124, 0.685751, 0.006514, 0.003481, -0.022566
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.727408, -0.017075, -0.022315, 0.685630, 0.006571, 0.003241, -0.022034
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.727621, -0.017049, -0.022491, 0.685399, 0.006774, 0.003228, -0.021995
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.727673, -0.017018, -0.022589, 0.685341, 0.006756, 0.003503, -0.022260
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.727949, -0.017037, -0.022666, 0.685045, 0.006764, 0.003374, -0.022415
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.727943, -0.017014, -0.022687, 0.685051, 0.006468, 0.003357, -0.022413
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.728059, -0.017285, -0.022741, 0.684919, 0.006742, 0.003265, -0.022611
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.728245, -0.017455, -0.022685, 0.684719, 0.006959, 0.003422, -0.022349
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.728314, -0.017431, -0.022668, 0.684647, 0.007132, 0.003577, -0.021756
45.417121, 11.867016, 171.638471, 14.703645, 8.506645, -0.115962, 0.728374, -0.017336, -0.022839, 0.684580, 0.007099, 0.003693, -0.021567
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.728478, -0.017189, -0.022909, 0.684470, 0.007086, 0.003540, -0.021774
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.728658, -0.017198, -0.022749, 0.684284, 0.007141, 0.003557, -0.021600
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.728921, -0.017179, -0.022649, 0.684008, 0.007238, 0.003571, -0.021383
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.729114, -0.017154, -0.022681, 0.683801, 0.007226, 0.003782, -0.021059
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.729237, -0.017264, -0.022862, 0.683661, 0.006938, 0.003707, -0.020832
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.729336, -0.017432, -0.023035, 0.683545, 0.007276, 0.003747, -0.021022
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.729325, -0.017616, -0.023193, 0.683548, 0.007095, 0.003725, -0.020901
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.729426, -0.017960, -0.023352, 0.683425, 0.007208, 0.003775, -0.020700
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.729502, -0.018088, -0.023424, 0.683338, 0.007306, 0.003584, -0.020591
45.417183, 11.867069, 171.632430, 14.625631, 8.467083, 0.031204, 0.729682, -0.018134, -0.023626, 0.683138, 0.007319, 0.003683, -0.020386
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.729573, -0.018236, -0.023797, 0.683246, 0.007150, 0.003722, -0.020094
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.729697, -0.018353, -0.023998, 0.683103, 0.007047, 0.003697, -0.020221
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.729717, -0.018506, -0.024103, 0.683073, 0.006822, 0.003392, -0.020550
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.729782, -0.018708, -0.024152, 0.682997, 0.006808, 0.003413, -0.020590
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.729913, -0.018955, -0.024084, 0.682853, 0.007033, 0.003396, -0.020427
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.729995, -0.019009, -0.024079, 0.682763, 0.007223, 0.003339, -0.019791
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.730113, -0.018860, -0.024091, 0.682641, 0.007340, 0.003483, -0.019430
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.730161, -0.018710, -0.024088, 0.682594, 0.007556, 0.003382, -0.019367
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.730201, -0.018673, -0.024183, 0.682549, 0.007604, 0.003235, -0.019566
45.417248, 11.867119, 171.572385, 14.586347, 8.573061, -0.059303, 0.730204, -0.018820, -0.024359, 0.682535, 0.007641, 0.003001, -0.019675
45.417969, 11.867684, 170.368719, 14.815902, 7.225717, 0.937818, 0.976827, -0.014667, -0.011735, 0.213205, 0.007641, 0.003001, -0.019675
